name,industry,subindustry,price,old_price,change
Elon Musk,Business,,70.00,70.13,-0.13
Mark Zuckerberg,Business,,48.00,38.17,+9.83
Sam Altman,Business,,36.00,20.72,+15.28
Jensen Huang,Business,,34.00,18.32,+15.68
Satya Nadella,Business,,26.00,15.23,+10.77
Sundar Pichai,Business,,26.00,41.73,-15.73
Bob Iger,Business,,22.00,39.41,-17.41
Alex Hormozi,Business,,16.00,8.53,+7.47
Alex Karp,Business,,14.00,12.40,+1.60
Palmer Luckey,Business,,14.00,11.85,+2.15
Chamath Palihapitiya,Business,,12.00,6.70,+5.30
Jeff Bezos,Business,Entrepreneur,48.00,48.73,-0.73
Bill Gates,Business,Entrepreneur,45.00,43.03,+1.97
Oprah Winfrey,Business,Entrepreneur,45.00,44.17,+0.83
Dana White,Business,Entrepreneur,32.00,32.69,-0.69
Kris Jenner,Business,Entrepreneur,32.00,35.15,-3.15
Richard Branson,Business,Entrepreneur,32.00,41.57,-9.57
Larry Ellison,Business,Entrepreneur,28.00,31.95,-3.95
Gary Vaynerchuk,Business,Entrepreneur,24.00,36.87,-12.87
Jerry Jones,Business,Entrepreneur,22.00,27.67,-5.67
Demis Hassabis,Business,Entrepreneur,18.00,41.97,-23.97
Steven Bartlett,Business,Entrepreneur,18.00,29.37,-11.37
Vitalik Buterin,Business,Entrepreneur,18.00,16.97,+1.03
Michael Saylor,Business,Entrepreneur,16.00,12.93,+3.07
Bryan Johnson,Business,Entrepreneur,14.00,12.87,+1.13
Grant Cardone,Business,Entrepreneur,14.00,27.67,-13.67
Rich Paul,Business,Entrepreneur,14.00,12.79,+1.21
Flavio Briatore,Business,Entrepreneur,10.00,6.59,+3.41
Codie Sanchez,Business,Entrepreneur,8.00,17.17,-9.17
Scott Boras,Business,Entrepreneur,8.00,12.18,-4.18
Tim Cook,Business,Executive,36.00,36.27,-0.27
Steve Ballmer,Business,Executive,18.00,17.88,+0.12
Adam Silver,Business,Executive,16.00,16.41,-0.41
Steve Cohen,Business,Executive,12.00,17.83,-5.83
Rob Manfred,Business,Executive,10.00,14.87,-4.87
Warren Buffett,Business,Investor,42.00,40.71,+1.29
Joe Rogan,Comedy,,48.00,52.95,-4.95
Theo Von,Comedy,,32.00,23.21,+8.79
Shane Gillis,Comedy,,30.00,19.11,+10.89
Tony Hinchcliffe,Comedy,,18.00,13.81,+4.19
Dave Chappelle,Comedy,Comedians,42.00,37.73,+4.27
Kevin Hart,Comedy,Comedians,42.00,38.87,+3.13
Chris Rock,Comedy,Comedians,36.00,36.37,-0.37
Conan O'Brien,Comedy,Comedians,34.00,35.27,-1.27
Jimmy Kimmel,Comedy,Comedians,32.00,30.67,+1.33
Jon Stewart,Comedy,Comedians,32.00,40.87,-8.87
Ellen DeGeneres,Comedy,Comedians,30.00,29.87,+0.13
Pete Davidson,Comedy,Comedians,28.00,26.93,+1.07
Cody Ko,Comedy,Comedians,10.00,9.07,+0.93
Jake Shane,Comedy,Comedians,10.00,16.57,-6.57
Ali Siddiq,Comedy,Comedians,8.00,0.25,+7.75
Hans Kim,Comedy,Comedians,5.00,3.50,+1.50
Kyle Kinane,Comedy,Comedians,5.00,0.07,+4.93
Sam Tallent,Comedy,Comedians,4.00,0.05,+3.95
Matthew McConaughey,Film and TV,,38.00,38.69,-0.69
Dwayne Johnson,Film and TV,Actors,48.00,44.35,+3.65
Leonardo DiCaprio,Film and TV,Actors,48.00,43.87,+4.13
Tom Cruise,Film and TV,Actors,47.00,35.18,+11.82
Brad Pitt,Film and TV,Actors,45.00,36.61,+8.39
Tom Hanks,Film and TV,Actors,45.00,48.63,-3.63
Keanu Reeves,Film and TV,Actors,44.00,43.13,+0.87
Robert Downey Jr.,Film and TV,Actors,44.00,42.59,+1.41
Will Smith,Film and TV,Actors,44.00,41.27,+2.73
Adam Sandler,Film and TV,Actors,42.00,35.93,+6.07
Denzel Washington,Film and TV,Actors,42.00,41.97,+0.03
Johnny Depp,Film and TV,Actors,42.00,42.27,-0.27
Ryan Reynolds,Film and TV,Actors,42.00,39.17,+2.83
Timothée Chalamet,Film and TV,Actors,42.00,40.06,+1.94
Chris Hemsworth,Film and TV,Actors,40.00,37.17,+2.83
George Clooney,Film and TV,Actors,40.00,39.57,+0.43
Harrison Ford,Film and TV,Actors,40.00,40.77,-0.77
Ryan Gosling,Film and TV,Actors,40.00,35.93,+4.07
Tom Holland,Film and TV,Actors,40.00,37.89,+2.11
Ben Affleck,Film and TV,Actors,38.00,36.47,+1.53
Chris Evans,Film and TV,Actors,38.00,42.17,-4.17
Jim Carrey,Film and TV,Actors,38.00,36.17,+1.83
Matt Damon,Film and TV,Actors,38.00,29.41,+8.59
Pedro Pascal,Film and TV,Actors,38.00,26.03,+11.97
Sylvester Stallone,Film and TV,Actors,38.00,35.39,+2.61
Chris Pratt,Film and TV,Actors,36.00,39.27,-3.27
Christian Bale,Film and TV,Actors,36.00,36.76,-0.76
Jack Black,Film and TV,Actors,36.00,31.23,+4.77
Mark Wahlberg,Film and TV,Actors,36.00,34.34,+1.66
Michael B. Jordan,Film and TV,Actors,36.00,39.99,-3.99
Robert Pattinson,Film and TV,Actors,36.00,41.17,-5.17
Henry Cavill,Film and TV,Actors,34.00,34.73,-0.73
Jason Momoa,Film and TV,Actors,34.00,35.97,-1.97
