name,industry,subindustry,identified,line,model,written_at
Elon Musk,Business,,true,"Elon Musk is the chief executive officer of Tesla and SpaceX and the owner of X. He oversees aerospace engineering, electric vehicle manufacturing, and satellite communications infrastructure.",gemini-3.8-flash,2026-09-10T00:37:48.972Z
Mark Zuckerberg,Business,,true,"Mark Zuckerberg is the founder, chairman, and chief executive officer of Meta Platforms. He directs development across social networking platforms, virtual reality hardware, and artificial intelligence technologies.",gemini-3.8-flash,2026-09-10T00:37:48.975Z
Sam Altman,Business,,true,Sam Altman is the chief executive officer of OpenAI and former president of the startup accelerator Y Combinator. He directs the development and commercial deployment of artificial intelligence models.,gemini-3.8-flash,2026-09-10T00:37:48.976Z
Jensen Huang,Business,,true,"Jensen Huang is the co-founder, president, and chief executive officer of Nvidia. He leads the design and manufacturing of graphics processing units and specialized computing hardware for artificial intelligence.",gemini-3.8-flash,2026-09-10T00:37:48.977Z
Satya Nadella,Business,,true,"Satya Nadella is the chairman and chief executive officer of Microsoft. He oversees enterprise software development, cloud computing services, personal computing hardware, and artificial intelligence partnerships.",gemini-3.8-flash,2026-09-10T00:37:48.978Z
Sundar Pichai,Business,,true,"Sundar Pichai is the chief executive officer of Alphabet and its subsidiary Google. He manages internet services, search engine development, mobile operating systems, and enterprise cloud operations.",gemini-3.8-flash,2026-09-10T00:37:48.979Z
Bob Iger,Business,,true,"Bob Iger is the chief executive officer of The Walt Disney Company. He oversaw corporate acquisitions of Pixar, Marvel Entertainment, and Lucasfilm, as well as the launch of the company's streaming media services.",gemini-3.8-flash,2026-09-10T00:37:48.980Z
Alex Hormozi,Business,,true,"Alex Hormozi is an entrepreneur, investor, and author who co-founded Acquisition.com. He invests in private small businesses and produces instructional materials on business operations and sales strategy.",gemini-3.8-flash,2026-09-10T00:37:48.981Z
Alex Karp,Business,,true,Alex Karp is the co-founder and chief executive officer of Palantir Technologies. He directs the development of data integration and analytics software platforms for government intelligence agencies and commercial enterprises.,gemini-3.8-flash,2026-09-10T00:37:48.982Z
Palmer Luckey,Business,,true,"Palmer Luckey is the founder of defense technology contractor Anduril Industries and the co-founder of Oculus VR. He develops autonomous defense systems, sensor hardware, and virtual reality displays.",gemini-3.8-flash,2026-09-10T00:37:48.982Z
Chamath Palihapitiya,Business,,true,"Chamath Palihapitiya is a venture capitalist and the founder and chief executive officer of Social Capital. He invests in technology enterprises, sponsors special purpose acquisition companies, and co-hosts the All-In podcast.",gemini-3.8-flash,2026-09-10T00:37:48.983Z
Jeff Bezos,Business,Entrepreneur,true,"Jeff Bezos is the founder and executive chair of Amazon, the founder of aerospace manufacturer Blue Origin, and the owner of The Washington Post. He works across e-commerce logistics, cloud infrastructure, and spaceflight.",gemini-3.8-flash,2026-09-10T00:37:48.984Z
Bill Gates,Business,Entrepreneur,true,"Bill Gates is the co-founder of Microsoft and co-chair of the Bill & Melinda Gates Foundation. He focuses on global philanthropy, directing initiatives in public health, disease eradication, and agricultural research.",gemini-3.8-flash,2026-09-10T00:37:48.985Z
Oprah Winfrey,Business,Entrepreneur,true,"Oprah Winfrey is a media executive and the founder of Harpo Productions and the Oprah Winfrey Network. She hosted a syndicated talk show and produces television programs, films, and publications.",gemini-3.8-flash,2026-09-10T00:37:48.986Z
Dana White,Business,Entrepreneur,true,"Dana White is the chief executive officer and president of the Ultimate Fighting Championship. He oversees promotional operations, athlete contracting, and event broadcasting for mixed martial arts competitions.",gemini-3.8-flash,2026-09-10T00:37:48.987Z
Kris Jenner,Business,Entrepreneur,true,"Kris Jenner is a talent manager, television producer, and businesswoman. She manages the commercial partnerships, brand licensing, and media production ventures of her family members.",gemini-3.8-flash,2026-09-10T00:37:48.988Z
Richard Branson,Business,Entrepreneur,true,"Richard Branson is the founder of the Virgin Group. He has established commercial ventures across aviation, telecommunications, music retail, passenger rail, and commercial spaceflight.",gemini-3.8-flash,2026-09-10T00:37:48.989Z
Larry Ellison,Business,Entrepreneur,true,"Larry Ellison is the co-founder, executive chairman, and chief technology officer of Oracle Corporation. He directs enterprise database software development, cloud infrastructure architecture, and corporate acquisitions.",gemini-3.8-flash,2026-09-10T00:37:48.989Z
Gary Vaynerchuk,Business,Entrepreneur,true,"Gary Vaynerchuk is the chairman of VaynerX and the chief executive officer of advertising agency VaynerMedia. He operates marketing agencies, invests in consumer startups, and authors books on digital marketing strategy.",gemini-3.8-flash,2026-09-10T00:37:48.990Z
Jerry Jones,Business,Entrepreneur,true,"Jerry Jones is the owner, president, and general manager of the Dallas Cowboys football franchise. He oversees franchise operations, sports venue management, and commercial real estate development.",gemini-3.8-flash,2026-09-10T00:37:48.991Z
Demis Hassabis,Business,Entrepreneur,true,"Co-founder and CEO of Google DeepMind, an artificial intelligence research laboratory. He led the development of AlphaGo and AlphaFold, earning the Nobel Prize in Chemistry for protein structure prediction.",gemini-3.8-flash,2026-09-10T00:37:52.042Z
Steven Bartlett,Business,Entrepreneur,true,Co-founder of the social media marketing agency Social Chain and host of the podcast The Diary of a CEO. He serves as an investor on the television series Dragons' Den.,gemini-3.8-flash,2026-09-10T00:37:52.043Z
